AREA_CODE,AREA_NAME,COMPONENT,SEX,AGE_GROUP,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
E09000022,Lambeth,Internal migration in,males,83,3.822,3.611,3.797,4.175,4.233,4.288,4.505,5.895,5.219,4.925,4.888,4.846,4.798,4.929,5.12,5.244,5.542,5.785,6.062,6.302,6.638,6.909,7.043,7.241,7.482
E09000022,Lambeth,Internal migration in,males,84,4.011,4.025,3.796,4.002,4.402,4.456,4.514,4.758,6.257,5.53,5.174,5.17,5.119,5.067,5.216,5.454,5.587,5.907,6.188,6.495,6.756,7.14,7.422,7.589,7.8
E09000022,Lambeth,Internal migration in,males,85,3.883,3.762,3.733,3.508,3.778,4.194,4.34,4.389,4.534,6.004,5.326,5.052,4.944,4.904,4.835,4.993,5.127,5.189,5.484,5.706,5.992,6.206,6.523,6.788,6.95
E09000022,Lambeth,Internal migration in,males,86,3.268,3.463,3.384,3.363,3.139,3.402,3.794,3.949,3.975,4.104,5.441,4.845,4.588,4.472,4.45,4.388,4.531,4.654,4.713,4.984,5.18,5.451,5.637,5.933,6.162
E09000022,Lambeth,Internal migration in,males,87,3.145,3.305,3.519,3.429,3.397,3.193,3.459,3.866,4.003,4.044,4.196,5.579,4.938,4.666,4.601,4.564,4.511,4.67,4.819,4.892,5.181,5.4,5.689,5.904,6.211
E09000022,Lambeth,Internal migration in,males,88,3.057,3.095,3.281,3.477,3.368,3.362,3.157,3.43,3.85,4.003,4.046,4.2,5.602,4.924,4.707,4.599,4.577,4.525,4.689,4.808,4.877,5.179,5.397,5.686,5.904
E09000022,Lambeth,Internal migration in,males,89,2.621,2.698,2.74,2.886,3.07,2.988,2.961,2.781,3.043,3.424,3.569,3.591,3.741,4.989,4.407,4.19,4.109,4.097,4.041,4.196,4.324,4.389,4.669,4.862,5.135
E09000022,Lambeth,Internal migration in,males,90 and over,11.111,11.345,11.662,12.001,12.467,13.05,13.446,13.763,13.828,14.16,14.835,15.568,16.24,16.973,18.954,19.968,20.559,20.941,21.196,21.341,21.599,21.947,22.321,22.929,23.689
E09000022,Lambeth,Internal migration in,males,All ages,17600.217,18254.092,18786.523,18984.015,19085.733,19173.598,19284.192,19447.929,19633.914,19803.248,19952.049,20082.303,20195.358,20285.817,20347.356,20385.269,20412.133,20412.378,20387.481,20343.465,20288.132,20230.445,20158.663,20071.434,19989.893
E09000023,Lewisham,Internal migration in,males,0,64.289,65.246,66.23,66.241,66.35,66.657,66.82,67.122,67.476,67.861,68.26,68.671,69.12,69.599,70.11,70.655,71.213,71.771,72.318,72.847,73.312,73.689,73.998,74.239,74.426
